19.806741191096933, -93.54066985645937
24.236083940549907, -104.90430622009575
29.655951936071613, -115.66985645933019
33.72009376045893, -122.84688995215316
39.77424424394155, -132.41626794258377
45.2250276115994, -140.78947368421058
53.34478922096193, -150.95693779904312
60.10143524449352, -159.3301435406699
67.09553472861747, -167.1052631578948
77.70315483451976, -179.66507177033498
86.74559438579013, -191.62679425837322
93.35120836793797, -204.78468899521533
95.95600044008597, -214.9521531100479
97.73278327387212, -223.9234449760766
